"income_band","inc_low","inc_high","inc_mid","age_band","age_band_key","members","pp3","pp4","pp6","pp8","pp10","ppn"
"$166,001 - $167,000",166001,167000,166500.5,"45-54","ks_45_54",827.335170544387,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$166,001 - $167,000",166001,167000,166500.5,"55-64","ks_55_64",602.232803047278,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$166,001 - $167,000",166001,167000,166500.5,"65+","ks_65p",99.3688743034601,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$167,001 - $168,000",167001,168000,167500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$167,001 - $168,000",167001,168000,167500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$167,001 - $168,000",167001,168000,167500.5,"18-24","ks_18_24",8.59486210936817,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$167,001 - $168,000",167001,168000,167500.5,"25-34","ks_25_34",306.7530022028,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$167,001 - $168,000",167001,168000,167500.5,"35-44","ks_35_44",792.794513444136,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$167,001 - $168,000",167001,168000,167500.5,"45-54","ks_45_54",747.270476620736,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$167,001 - $168,000",167001,168000,167500.5,"55-64","ks_55_64",628.042780320732,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$167,001 - $168,000",167001,168000,167500.5,"65+","ks_65p",104.598815056274,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$168,001 - $169,000",168001,169000,168500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$168,001 - $169,000",168001,169000,168500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$168,001 - $169,000",168001,169000,168500.5,"18-24","ks_18_24",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$168,001 - $169,000",168001,169000,168500.5,"25-34","ks_25_34",280.459887728274,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
